,year,suicide_no,population
0,1985,29446,220723000
1,1986,30892,222953000
2,1987,30783,225148000
3,1988,30388,227353000
4,1989,30218,229487000
5,1990,30895,229952200
6,1991,30790,232955000
7,1992,30471,235565600
8,1993,31084,238092300
9,1994,31123,240614100
10,1995,31272,243164200
11,1996,30879,245997800
12,1997,30517,248486400
13,1998,30558,251332500
14,1999,29183,253748671
15,2000,29343,262246108
16,2001,30607,265427546
17,2002,31645,268759559
18,2003,31477,271041510
19,2004,32428,273584136
20,2005,32629,276106680
21,2006,33292,278980848
22,2007,34596,280658606
23,2008,36030,282355565
24,2009,36900,285162662
25,2010,38362,287839149
26,2011,39508,290313825
27,2012,40596,292827128
28,2013,41143,295322862
29,2014,42769,297749735
30,2015,44189,300078511
